iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
210,1,2,4,11,18,5,7,9,3,19,15,13,14,8,17,6,12,20,21,16,954,
32,6,21,5,13,10,14,9,17,18,8,1,15,20,4,19,7,12,16,11,3,954,
417,8,7,6,12,2,1,20,13,18,21,3,16,5,15,10,4,19,9,14,11,954,
516,11,2,9,19,8,12,20,10,4,15,17,13,3,18,14,1,5,6,21,7,954,
613,3,16,9,20,6,5,18,4,14,11,17,19,12,8,21,7,10,15,2,1,954,
717,8,7,6,12,2,1,20,13,18,21,3,16,5,15,10,4,19,9,14,11,954,
813,21,12,9,6,1,18,17,15,4,7,11,20,3,16,10,8,2,5,14,19,954,
913,18,21,17,7,19,15,9,10,11,12,2,4,14,1,5,8,16,3,20,6,954,
101,11,5,19,20,21,17,8,2,6,7,18,13,14,3,10,4,16,9,15,12,954,
115,2,12,1,8,10,7,15,4,18,9,13,17,6,20,19,21,14,16,3,11,954,
