iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
214,5,9,3,21,17,13,11,6,19,20,18,2,7,16,15,10,12,1,4,8,954,
319,6,14,1,15,12,4,16,21,2,3,7,5,9,8,18,13,10,11,17,20,954,
411,18,15,20,8,14,12,19,1,7,16,3,13,6,17,9,2,5,10,4,21,954,
520,11,12,7,2,16,18,10,14,21,13,17,4,6,15,1,8,19,9,5,3,954,
621,9,6,15,3,16,4,18,20,5,1,10,12,11,8,19,2,13,14,17,7,954,
721,9,6,15,3,16,4,18,20,5,1,10,12,11,8,19,2,13,14,17,7,954,
813,5,8,2,10,16,20,12,19,9,14,17,3,18,11,7,21,1,4,6,15,954,
917,13,18,7,2,9,11,3,10,16,8,14,12,19,5,6,1,15,21,4,20,954,
1020,2,5,19,15,6,17,8,14,3,7,4,12,21,18,16,1,9,10,13,11,954,
111,7,16,17,15,21,3,2,11,20,8,5,4,19,6,12,18,10,13,14,9,954,
