iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
213,17,19,5,11,1,10,4,7,8,18,2,20,12,15,3,9,6,21,14,16,954,
33,1,6,8,4,5,9,2,12,20,13,7,18,16,19,14,17,15,21,10,11,954,
421,17,18,9,3,7,5,11,14,16,8,20,19,15,6,4,10,12,2,1,13,954,
514,8,6,17,15,13,3,19,7,20,2,9,16,5,18,4,10,12,1,21,11,954,
61,13,4,10,18,11,16,8,5,7,21,6,14,15,19,17,12,3,20,9,2,954,
715,19,7,21,5,2,18,14,11,12,13,4,8,6,16,3,1,10,17,9,20,954,
89,19,12,7,16,6,20,10,2,1,8,13,4,21,5,18,14,3,11,15,17,954,
91,12,8,20,10,6,21,7,17,5,13,9,16,11,19,3,15,4,14,18,2,954,
1014,4,19,2,1,10,7,6,18,11,13,20,5,15,17,3,16,8,12,21,9,954,
1113,7,5,6,3,21,1,17,19,11,10,9,8,18,2,14,16,12,4,15,20,954,
