iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
260,40,40,39,80,33,32,42,40,4,60,40,13,40,25,40,34,38,39,60,-419,
360,40,40,39,80,33,32,42,40,4,60,40,13,40,25,40,34,38,39,60,-419,
460,40,40,39,80,33,32,42,40,4,60,40,13,40,25,40,34,38,39,60,-419,
560,36,23,50,80,40,15,39,17,24,21,29,61,28,49,35,40,40,61,52,-454,
660,36,23,50,80,40,15,39,17,24,21,29,61,28,49,35,40,40,61,52,-454,
754,40,40,25,80,33,57,55,31,15,21,35,80,25,38,18,27,16,80,30,-421,
860,34,40,23,13,40,28,34,40,28,35,28,62,40,57,28,40,40,70,60,-490,
960,34,40,23,13,40,28,34,40,28,35,28,62,40,57,28,40,40,70,60,-490,
1060,34,40,23,13,40,28,34,40,28,35,28,62,40,57,28,40,40,70,60,-490,
1160,34,40,23,13,40,28,34,40,28,35,28,62,40,57,28,40,40,70,60,-490,
1260,34,40,23,12,40,28,34,40,28,35,29,62,40,57,28,40,40,70,60,-490,
1360,34,40,24,13,40,28,34,40,28,35,28,61,40,57,28,40,40,70,60,-490,
1460,34,40,23,13,40,28,35,40,28,35,28,61,40,57,28,40,40,70,60,-490,
1560,34,40,23,13,40,28,35,40,28,35,28,61,40,57,28,40,40,70,60,-490,
1660,34,40,16,13,40,28,35,40,35,35,28,61,40,57,28,40,40,70,60,-478,
1760,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
1860,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
1960,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
2060,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
2160,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
2260,35,40,23,12,40,35,34,40,28,35,26,62,40,54,31,40,32,73,60,-490,
2360,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,32,70,60,-490,
2460,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,31,71,60,-490,
2560,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,31,71,60,-490,
2660,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,31,71,60,-490,
2760,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,31,71,60,-490,
2860,35,40,23,12,40,35,34,40,28,35,26,62,40,57,31,40,31,71,60,-490,
2960,34,39,23,13,40,27,34,40,27,35,32,62,40,57,27,40,40,70,60,-466,
3060,35,39,23,13,40,26,34,40,27,35,32,62,40,57,27,40,40,70,60,-466,
3160,34,39,23,13,40,27,34,40,24,35,32,57,40,56,36,40,40,70,60,-490,
