iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
236,29,40,4,80,40,58,4,40,40,34,36,77,20,44,40,9,40,69,56,-416,
341,39,7,19,80,36,59,25,11,40,47,40,80,13,32,40,40,29,80,43,-374,
441,39,7,19,80,36,59,25,11,40,47,40,75,10,39,40,40,29,80,43,-407,
541,39,7,19,80,36,59,25,11,40,47,40,75,10,39,40,40,29,80,43,-407,
652,40,40,56,80,40,29,57,33,23,24,30,4,20,60,40,36,36,80,20,-418,
739,29,40,4,80,40,58,4,40,40,34,36,77,21,44,40,9,40,69,56,-416,
839,29,40,4,80,40,58,4,40,40,34,36,77,21,44,40,9,40,69,56,-416,
952,40,40,59,80,40,29,57,33,22,27,30,4,21,60,40,27,36,80,23,-418,
1039,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1139,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1239,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1339,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1439,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1539,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1639,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1739,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1839,29,40,4,80,40,58,5,40,40,34,40,77,27,44,40,9,40,58,56,-446,
1957,40,20,38,20,40,44,35,40,17,0,40,80,40,51,21,40,40,80,57,-423,
2057,40,20,38,20,40,44,35,40,17,0,40,80,40,51,21,40,40,80,57,-423,
2125,40,40,35,80,40,57,17,40,0,46,35,66,37,56,40,32,29,58,27,-426,
2225,40,40,35,80,40,57,17,40,0,46,35,66,37,56,40,32,29,58,27,-426,
2325,40,40,35,80,40,57,17,40,0,46,35,66,37,56,40,32,29,58,27,-426,
2439,29,40,4,80,40,58,4,40,40,34,35,78,26,43,40,8,40,66,56,-446,
2539,29,40,4,80,40,58,4,40,40,34,35,78,26,43,40,8,40,66,56,-446,
2639,29,40,4,80,40,58,4,40,40,34,35,78,26,43,40,8,40,66,56,-446,
2739,29,40,4,80,40,58,4,40,40,34,35,78,26,43,40,8,40,66,56,-446,
2839,29,40,4,80,40,58,4,40,40,34,35,78,26,43,40,8,40,66,56,-446,
