Station,Longitude,Latitude,Demand,Cluster,time_windows,time_windows,,,
163,118.7906938,32.01050694,-44,1,0,00,,,8:00
164,118.789185,32.03308922,-29,1,0,00,,,8:00
165,118.7747977,32.01856163,-5,1,20.45454545,20,,,8:20
166,118.7970466,32.05352605,-30,0,1.583113456,02,,,8:02
167,118.7782504,32.05627638,12,2,0,00,,,8:00
168,118.7869051,32.02925815,13,1,22.75862069,23,,,8:23
171,118.7813069,32.05214578,-27,0,0,00,,,8:00
173,118.7915631,32.03827397,-25,0,5.23255814,05,,,8:05
174,118.7768185,32.04474697,-5,3,18.18181818,18,,,8:18
175,118.7843969,32.02278833,11,1,0,00,,,8:00
176,118.778888,32.01612889,-19,1,0,00,,,8:00
178,118.8022644,32.03284235,1,0,42.42424242,42,,,8:42
181,118.7862694,32.04554669,56,0,0,00,,,8:00
182,118.7792229,32.03830809,-12,3,0,00,,,8:00
183,118.7619069,32.05709465,2,2,0,00,,,8:00
184,118.7857532,32.01739763,2,1,0,00,,,8:00
186,118.7829072,32.02782025,-14,1,13.15789474,13,,,8:13
187,118.8017027,32.05449294,-30,0,0,00,,,8:00
188,118.7701228,32.06576797,26,2,1.801801802,02,,,8:02
189,118.7844484,32.05439836,59,0,0,00,,,8:00
190,118.7824394,32.04393164,8,0,20.68965517,21,,,8:21
191,118.7999174,32.04556091,-16,0,0,00,,,8:00
192,118.7893226,32.0280262,6,1,41.09589041,41,,,8:41
194,118.7894616,32.04935107,39,0,0,00,,,8:00
197,118.7839215,32.03935357,7,3,28.84615385,29,,,8:29
198,118.7888569,32.05557179,-27,0,0,00,,,8:00
201,118.7998598,32.02025208,6,1,13.63636364,14,,,8:14
206,118.7979052,32.03596354,-38,0,2.443991853,02,,,8:02
207,118.7652149,32.05521467,-14,2,0,00,,,8:00
209,118.7865854,32.03392049,5,1,36.7816092,37,,,8:37
210,118.7991233,32.03824841,-32,0,0,00,,,8:00
211,118.7904401,32.04761603,-21,0,2.222222222,02,,,8:02
213,118.7954427,32.04673144,-2,0,44.44444444,44,,,8:44
214,118.7718046,32.05152994,34,2,0,00,,,8:00
217,118.7953967,32.03680166,-2,0,45.68527919,46,,,8:46
218,118.7861102,32.04141202,18,0,0,00,,,8:00
219,118.777268,32.05015532,20,2,0,00,,,8:00
220,118.7711469,32.02187131,-28,1,0,00,,,8:00
221,118.7912936,32.02347394,2,1,0,00,,,8:00
222,118.7744405,32.06739438,42,2,0,00,,,8:00
223,118.7990329,32.04994592,-24,0,0,00,,,8:00
224,118.7806374,32.04024672,41,3,2.272727273,02,,,8:02
225,118.7656591,32.04763276,13,3,0,00,,,8:00
226,118.7910457,32.04596071,-5,0,0,00,,,8:00
227,118.7972946,32.02177504,-12,1,10.22727273,10,,,8:10
228,118.7803705,32.05474807,11,2,0,00,,,8:00
230,118.7593425,32.07082735,-4,2,29.41176471,29,,,8:29
231,118.7940532,32.01255252,11,1,7.947019868,08,,,8:08
232,118.7771313,32.07092522,17,2,0,00,,,8:00
233,118.7817736,32.05749472,12,2,0,00,,,8:00
234,118.7731717,32.02343524,-25,1,0,00,,,8:00
237,118.769211,32.05619132,-24,2,0,00,,,8:00
