iteration\bike_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,, fitness_number,
1,42,40,27,44,73,28,32,14,40,30,60,29,80,40,30,13,32,40,80,27,-422,
2,42,40,27,44,73,28,32,14,40,30,60,29,80,40,30,13,32,40,80,27,-422,
3,51,40,40,28,68,32,29,35,40,13,50,40,80,25,6,40,19,40,68,56,-427,
4,13,40,1,59,80,40,32,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
5,51,40,40,28,68,32,29,35,40,13,50,40,80,25,6,40,19,40,68,56,-427,
6,13,40,2,59,80,40,31,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
7,21,40,6,59,80,40,39,33,40,22,42,40,80,40,52,40,40,40,44,2,-438,
8,21,40,6,59,80,40,39,33,40,22,42,40,80,40,52,40,40,40,44,2,-438,
9,13,40,1,59,80,40,32,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
10,13,40,1,59,80,40,32,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
11,13,40,1,59,80,40,32,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
12,18,40,1,59,80,40,39,31,40,25,42,40,80,40,51,40,40,40,51,3,-438,
13,18,40,1,59,80,40,39,31,40,25,42,40,80,40,51,40,40,40,51,3,-438,
14,13,40,40,59,30,40,35,38,40,22,41,40,80,40,60,40,40,40,60,2,-445,
15,50,40,0,59,80,40,32,38,40,22,42,40,80,40,60,4,40,40,51,2,-446,
16,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
17,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
18,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
19,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
20,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
21,13,40,40,58,30,40,35,38,40,23,41,40,80,40,60,40,40,40,60,2,-445,
22,13,40,1,59,80,40,32,38,40,22,42,40,80,40,60,40,40,40,51,2,-438,
23,13,40,1,56,80,40,32,38,40,22,45,40,80,40,60,40,40,40,51,2,-438,
24,14,40,1,59,80,40,32,37,40,22,42,40,80,40,60,40,40,40,51,2,-438,
